tokens,segmenter_one,segmenter_two,segmenter_three
eliyisihluthulelo,eli-y-i-si-hluthulelo,e-ku-gcwalisek-e-ni,eliy-isihluthulelo
elizodlula,eli-zo-dlul-a,ma-duze,elizo-dlul-a
elizophenya,eli-zo-pheny-a,u-cele,elizo-pheny-a
elizwa,eli-zw-a,eli-zw-a,aka-thand-anga
elyahlulelayo,el-ahlulel-a-yo,el-ahlulel-a-yo,el-ahlulel-a-yo
elyakhayo,el-akh-a-yo,el-akh-a-yo,el-akh-a-yo
elyamukelekayo,el-amukelek-a-yo,el-amukelek-a-yo,el-amukelek-a-yo
elyamukelwayo,el-amukelw-a-yo,el-amukelw-a-yo,el-amukelw-a-yo
elyandayo,el-and-a-yo,el-and-a-yo,el-and-a-yo
elyandelayo,el-andel-a-yo,el-andel-a-yo,el-andel-a-yo
elyanelisayo,el-anelis-a-yo,el-anelis-a-yo,el-anelis-a-yo
elyaziwayo,el-aziw-a-yo,el-aziw-a-yo,el-aziw-a-yo
elyengayo,el-eng-a-yo,el-eng-a-yo,el-eng-a-yo
elyenyukayo,el-enyuk-a-yo,el-enyuk-a-yo,el-enyuk-a-yo
elyesabekayo,el-esabek-a-yo,el-esabek-a-yo,el-esabek-a-yo
elyethusayo,el-ethus-a-yo,el-ethus-a-yo,el-ethus-a-yo
elyonakalisayo,el-onakalis-a-yo,el-onakalis-a-yo,el-onakalis-a-yo
emabhodweni,e-ma-bhodw-eni,ema-bhodw-eni,ema-bhodwenia-bekw-a
emagqumeni,e-ma-gqum-eni,ema-gqum-eni,ema-gqumenia-y-a
emahlayeni,e-ma-hlay-eni,ema-hlay-eni,e-sizulu
emakhophini,e-ma-khoph-ini,ema-khoph-ini,ema-khophinia-mu-v-a
emaqabungeni,e-ma-qabung-eni,ema-qabung-eni,i-setshenziselw-a
eminyakeniengama,eminyakeni-engam-a,eminyakeni-engam-a,eminyakeni-engam-aedlul-e
emmisela,e-m-misel-a,e-m-misel-a,em-misel-a
encani,enc-a-ni,enc-a-ni-khulu,enc-a-ni
endawo,e-ndawo,e-ndawo,e-ndawon-om-a
engadlali,e-nga-dlal-i,e-nga-dlal-i,engadlal-ik-odw-a
engakhethi,e-nga-kheth-i,e-nga-kheth-i-buso,engakheth-i
engalindi,e-nga-lind-i,e-nga-lind-i-bhadi,engalind-i
engamele,engamel-e,engamel-e,isihlalo
engaphuzi,e-nga-phuz-i,e-nga-phuz-i-wayini,engaphuz-i
engathanga,e-nga-th-anga,e-nga-th-anga-vu,engath-anga
engathathi,e-nga-thath-i,e-nga-thath-i-hlangothi,engathath-i
engavumi,e-nga-vum-i,e-nga-vum-i,enga-vum-ik-eph-a
engenazithelo,e-nge-na-zi-thelo,e-nge-na-zi-thelo,engena-zithelok-eph-a
engihlazisayo,e-ngi-hlazis-a-yo,e-ngi-hlazis-a-yo,engi-hlazis-a-yok-eph-a
engokomthetho,e-ng-o-ko-m-thetho,e-ng-o-ko-m-thetho,eng-oko-mthethon-om-a
engqabashiya,e-ngqabashiy-a,e-ngqabashiy-a,engqabashiy-aehl-a
engyaziwayo,eng-aziw-a-yo,eng-aziw-a-yo,eng-aziw-a-yo
enikhulumayo,eni-khulum-a-yo,eni-khulum-a-yo,enikhulum-a-yok-odw-a
eniyakhandlekayo,eni-khandlek-a-yo,eni-khandlek-a-yo,eni-khandlek-a-yo
eniyakholwayo,eni-kholw-a-yo,eni-kholw-a-yo,eni-kholw-a-yo
eniyakhulumayo,eni-khulum-a-yo,eni-khulum-a-yo,eni-khulum-a-yo
eniyazwayo,eni-zwa-yo,eni-zwa-yo,eni-zwa-yo
eniyifisela,eni-yi-fisel-a,eni-yi-fisel-a,eniyi-fisel-ak-on-a
enjini,e-m-tsh-ini,em-tsh-ini,enjini
enkazimulo,e-n-kazimulo,e-n-kazimulo,e-nkazimuloengamel-e
enolaka,e-n-o-laka,e-no-laka,efun-a
enombono,e-n-o-m-bono,e-no-m-bono,we-njongo
enomfazi,e-n-o-m-fazi,e-no-m-fazi,eno-mfazik-eph-a
enqabe,enqab-e,enqab-e,uku-si-khulekel-ab-es-e
enqolobaneniyebandayo,e-nqoloban-eni-eband-a-yo,enqoloban-eni-eband-a-yo,enqolobaneni-eband-a-yo
enyameni,e-nyam-eni,enyam-eni,enyamenik-eph-a
enziwaabe,enziw-a-ab-e,enziw-a-ab-e,enziw-a-ab-e
esawamukela,es-a-wa-mukel-a,es-a-wa-mukel-a,esa-wa-mukel-aa-m-a
esenzela,es-enzel-a,es-enzel-a,esenzel-ak-on-a
eshaqa,e-shaq-a,e-shaq-a,amabhomu
eshisayo,e-shis-a-yo,e-shis-a-yo,eshis-a-yon-om-a
esimmele,esi-m-mel-e,esi-m-mel-e,esim-mel-e
esimmelelayo,esi-m-melel-a-yo,esi-m-melel-a-yo,esim-melel-a-yo
esingabonisi,esi-nga-bonis-i,esi-nga-bonis-i-themba,esingabonis-i
esingangenwa,esi-nga-ngenw-a,esi-nga-ngenw-a-moya,esingangenw-a
esiphikisa,esi-phikis-a,esi-phikis-a,lokhoa-ku-bhek-a
esivumelwaneni,e-si-vumelwan-eni,esi-vumelwan-eni-sango,esi-vumelwaneni
esiyababazekayo,esi-babazek-a-yo,esi-babazek-a-yo,esi-babazek-a-yo
esiyabhubhisayo,esi-bhubhis-a-yo,esi-bhubhis-a-yo,esi-bhubhis-a-yo
esiyabhucukayo,esi-bhucuk-a-yo,esi-bhucuk-a-yo,esi-bhucuk-a-yo
esiyabonakalayo,esi-bonakal-a-yo,esi-bonakal-a-yo,esi-bonakal-a-yo
esiyabubulayo,esi-bubul-a-yo,esi-bubul-a-yo,esi-bubul-a-yo
esiyabulalayo,esi-bulal-a-yo,esi-bulal-a-yo,esi-bulal-a-yo
esiyabusayo,esi-bus-a-yo,esi-bus-a-yo,esi-bus-a-yo
esiyacatshangelwayo,esi-catshangelw-a-yo,esi-catshangelw-a-yo,esi-catshangelw-a-yo
esiyacebisayo,esi-cebis-a-yo,esi-cebis-a-yo,esi-cebis-a-yo
esiyachichimayo,esi-chichim-a-yo,esi-chichim-a-yo,esi-chichim-a-yo
esiyacindezelayo,esi-cindezel-a-yo,esi-cindezel-a-yo,esi-cindezel-a-yo
esiyadabukisayo,esi-dabukis-a-yo,esi-dabukis-a-yo,esi-dabukis-a-yo
esiyadidayo,esi-did-a-yo,esi-did-a-yo,esi-did-a-yo
esiyadingekayo,esi-dingek-a-yo,esi-dingek-a-yo,esi-dingek-a-yo
esiyaduduzayo,esi-duduz-a-yo,esi-duduz-a-yo,esi-duduz-a-yo
esiyafanayo,esi-fan-a-yo,esi-fan-a-yo,esi-fan-a-yo
esiyafundisayo,esi-fundis-a-yo,esi-fundis-a-yo,esi-fundis-a-yo
esiyafundwayo,esi-fundw-a-yo,esi-fundw-a-yo,esi-fundw-a-yo
esiyafuywayo,esi-fuyw-a-yo,esi-fuyw-a-yo,esi-fuyw-a-yo
esiyagaxwayo,esi-gaxw-a-yo,esi-gaxw-a-yo,esi-gaxw-a-yo
esiyagcwalisekayo,esi-gcwalisek-a-yo,esi-gcwalisek-a-yo,esi-gcwalisek-a-yo
esiyagogayo,esi-gog-a-yo,esi-gog-a-yo,esi-gog-a-yo
esiyagqamukayo,esi-gqamuk-a-yo,esi-gqamuk-a-yo,esi-gqamuk-a-yo
esiyaguqukayo,esi-guquk-a-yo,esi-guquk-a-yo,esi-guquk-a-yo
esiyagwedlwayo,esi-gwedlw-a-yo,esi-gwedlw-a-yo,esi-gwedlw-a-yo
esiyahlanganisayo,esi-hlanganis-a-yo,esi-hlanganis-a-yo,esi-hlanganis-a-yo
esiyahlanganyelwayo,esi-hlanganyelw-a-yo,esi-hlanganyelw-a-yo,esi-hlanganyelw-a-yo
esiyahlazisayo,esi-hlazis-a-yo,esi-hlazis-a-yo,esi-hlazis-a-yo
esiyahlongozwayo,esi-hlongozw-a-yo,esi-hlongozw-a-yo,esi-hlongozw-a-yo
esiyahloniphekayo,esi-hloniphek-a-yo,esi-hloniphek-a-yo,esi-hloniphek-a-yo
esiyahuquzelayo,esi-huquzel-a-yo,esi-huquzel-a-yo,esi-huquzel-a-yo
esiyajabulisayo,esi-jabulis-a-yo,esi-jabulis-a-yo,esi-jabulis-a-yo
esiyajikelezayo,esi-jikelez-a-yo,esi-jikelez-a-yo,esi-jikelez-a-yo
esiyakhangayo,esi-khang-a-yo,esi-khang-a-yo,esi-khang-a-yo
esiyakhanyayo,esi-khany-a-yo,esi-khany-a-yo,esi-khany-a-yo
esiyakhathazayo,esi-khathaz-a-yo,esi-khathaz-a-yo,esi-khathaz-a-yo
esiyakhazimulayo,esi-khazimul-a-yo,esi-khazimul-a-yo,esi-khazimul-a-yo
esiyakholwayo,esi-kholw-a-yo,esi-kholw-a-yo,esi-kholw-a-yo
esiyakhubazayo,esi-khubaz-a-yo,esi-khubaz-a-yo,esi-khubaz-a-yo
esiyakhulayo,esi-khul-a-yo,esi-khul-a-yo,esi-khul-a-yo
esiyakhuthazayo,esi-khuthaz-a-yo,esi-khuthaz-a-yo,esi-khuthaz-a-yo
esiyalalelayo,esi-lalel-a-yo,esi-lalel-a-yo,esi-lalel-a-yo
esiyalandelayo,esi-landel-a-yo,esi-landel-a-yo,esi-landel-a-yo
esiyalawulayo,esi-lawul-a-yo,esi-lawul-a-yo,esi-lawul-a-yo
esiyalinganayo,esi-lingan-a-yo,esi-lingan-a-yo,esi-lingan-a-yo
esiyalinganiselayo,esi-linganisel-a-yo,esi-linganisel-a-yo,esi-linganisel-a-yo
esiyamangalisayo,esi-mangalis-a-yo,esi-mangalis-a-yo,esi-mangalis-a-yo
esiyancelisayo,esi-ncelis-a-yo,esi-ncelis-a-yo,esi-ncelis-a-yo
esiyandizayo,esi-ndiz-a-yo,esi-ndiz-a-yo,esi-ndiz-a-yo
esiyaphawulekayo,esi-phawulek-a-yo,esi-phawulek-a-yo,esi-phawulek-a-yo
esiyaphazamisayo,esi-phazamis-a-yo,esi-phazamis-a-yo,esi-phazamis-a-yo
esiyaphendukayo,esi-phenduk-a-yo,esi-phenduk-a-yo,esi-phenduk-a-yo
esiyaphikwayo,esi-phikw-a-yo,esi-phikw-a-yo,esi-phikw-a-yo
esiyaphilayo,esi-phil-a-yo,esi-phil-a-yo,esi-phil-a-yo
esiyaphingayo,esi-phing-a-yo,esi-phing-a-yo,esi-phing-a-yo
esiyaphithizelayo,esi-phithizel-a-yo,esi-phithizel-a-yo,esi-phithizel-a-yo
esiyaphumelelayo,esi-phumelel-a-yo,esi-phumelel-a-yo,esi-phumelel-a-yo
esiyaphuthumayo,esi-phuthum-a-yo,esi-phuthum-a-yo,esi-phuthum-a-yo
esiyaqalayo,esi-qala-yo,esi-qala-yo,esi-qala-yo
esiyaqhakazayo,esi-qhakaz-a-yo,esi-qhakaz-a-yo,esi-qhakaz-a-yo
esiyaqhubekayo,esi-qhubek-a-yo,esi-qhubek-a-yo,esi-qhubek-a-yo
esiyaqondisayo,esi-qondis-a-yo,esi-qondis-a-yo,esi-qondis-a-yo
esiyaqubukayo,esi-qubuk-a-yo,esi-qubuk-a-yo,esi-qubuk-a-yo
esiyaququdayo,esi-ququd-a-yo,esi-ququd-a-yo,esi-ququd-a-yo
esiyasabekayo,esi-sabek-a-yo,esi-sabek-a-yo,esi-sabek-a-yo
esiyasabisayo,esi-sabis-a-yo,esi-sabis-a-yo,esi-sabis-a-yo
esiyasebenzayo,esi-sebenz-a-yo,esi-sebenz-a-yo,esi-sebenz-a-yo
esiyashaqisayo,esi-shaqis-a-yo,esi-shaqis-a-yo,esi-shaqis-a-yo
esiyasheshayo,esi-shesh-a-yo,esi-shesh-a-yo,esi-shesh-a-yo
esiyashukumisayo,esi-shukumis-a-yo,esi-shukumis-a-yo,esi-shukumis-a-yo
esiyasondelayo,esi-sondel-a-yo,esi-sondel-a-yo,esi-sondel-a-yo
esiyathakazelisayo,esi-thakazelis-a-yo,esi-thakazelis-a-yo,esi-thakazelis-a-yo
esiyathandekayo,esi-thandek-a-yo,esi-thandek-a-yo,esi-thandek-a-yo
esiyathandwayo,esi-thandw-a-yo,esi-thandw-a-yo,esi-thandw-a-yo
esiyathembekayo,esi-thembek-a-yo,esi-thembek-a-yo,esi-thembek-a-yo
esiyatholakalayo,esi-tholakal-a-yo,esi-tholakal-a-yo,esi-tholakal-a-yo
esiyathusayo,esi-thus-a-yo,esi-thus-a-yo,esi-thus-a-yo
esiyathuthukayo,esi-thuthuk-a-yo,esi-thuthuk-a-yo,esi-thuthuk-a-yo
esiyavezwayo,esi-vezw-a-yo,esi-vezw-a-yo,esi-vezw-a-yo
esiyavuthayo,esi-vuth-a-yo,esi-vuth-a-yo,esi-vuth-a-yo
esiyawohlokayo,esi-wohlok-a-yo,esi-wohlok-a-yo,esi-wohlok-a-yo
esiyaxwayisayo,esi-xwayis-a-yo,esi-xwayis-a-yo,esi-xwayis-a-yo
esiyayaluzayo,esi-yaluz-a-yo,esi-yaluz-a-yo,esi-yaluz-a-yo
esiyayendezelayo,esi-yendezel-a-yo,esi-yendezel-a-yo,esi-yendezel-a-yo
esiyazayo,esi-z-a-yo,esi-z-a-yo,esi-z-a-yo
esiyazulayo,esi-zul-a-yo,esi-zul-a-yo,esi-zul-a-yo
esiyazuzisayo,esi-zuzis-a-yo,esi-zuzis-a-yo,esi-zuzis-a-yo
esiyazwakalayo,esi-zwakal-a-yo,esi-zwakal-a-yo,esi-zwakal-a-yo
esyakhayo,es-akh-a-yo,es-akh-a-yo,es-akh-a-yo
esyandayo,es-and-a-yo,es-and-a-yo,es-and-a-yo
esyandulelayo,es-andulel-a-yo,es-andulel-a-yo,es-andulel-a-yo
esyaziwayo,es-aziw-a-yo,es-aziw-a-yo,es-aziw-a-yo
esyelaphayo,es-elaph-a-yo,es-elaph-a-yo,es-elaph-a-yo
esyenziwayo,es-enziw-a-yo,es-enziw-a-yo,es-enziw-a-yo
esyesabekayo,es-esabek-a-yo,es-esabek-a-yo,es-esabek-a-yo
exubile,e-xub-ile,uku-qoq-a,exub-ile
eyababayo,e-bab-a-yo,e-bab-a-yo,e-bab-a-yo
eyababazekayo,e-babazek-a-yo,e-babazek-a-yo,e-babazek-a-yo
eyabandayo,e-band-a-yo,e-band-a-yo,e-band-a-yo
eyabeleselayo,e-belesel-a-yo,e-belesel-a-yo,e-belesel-a-yo
eyabhongayo,e-bhong-a-yo,e-bhong-a-yo,e-bhong-a-yo
eyabhubhisayo,e-bhubhis-a-yo,e-bhubhis-a-yo,e-bhubhis-a-yo
eyabhulayo,e-bhul-a-yo,e-bhul-a-yo,e-bhul-a-yo
eyabhuqayo,e-bhuq-a-yo,e-bhuq-a-yo,e-bhuq-a-yo
eyabikwayo,e-bikw-a-yo,e-bikw-a-yo,e-bikw-a-yo
eyabizayo,e-biz-a-yo,e-biz-a-yo,e-biz-a-yo
eyabizwayo,e-bizw-a-yo,e-bizw-a-yo,e-bizw-a-yo
eyabonakalayo,e-bonakal-a-yo,e-bonakal-a-yo,e-bonakal-a-yo
eyabonayo,e-bon-a-yo,e-bon-a-yo,e-bon-a-yo
eyabophayo,e-boph-a-yo,e-boph-a-yo,e-boph-a-yo
eyabubulayo,e-bubul-a-yo,e-bubul-a-yo,e-bubul-a-yo
eyabulalayo,e-bulal-a-yo,e-bulal-a-yo,e-bulal-a-yo
eyabusayo,e-bus-a-yo,e-bus-a-yo,e-bus-a-yo
eyabuthayo,e-buth-a-yo,e-buth-a-yo,e-buth-a-yo
eyabuyayo,e-buy-a-yo,e-buy-a-yo,e-buy-a-yo
eyacasulayo,e-casul-a-yo,e-casul-a-yo,e-casul-a-yo
eyacatshangelwayo,e-catshangelw-a-yo,e-catshangelw-a-yo,e-catshangelw-a-yo
eyachithekayo,e-chithek-a-yo,e-chithek-a-yo,e-chithek-a-yo
eyacindezelayo,e-cindezel-a-yo,e-cindezel-a-yo,e-cindezel-a-yo
eyacwebezelayo,e-cwebezel-a-yo,e-cwebezel-a-yo,e-cwebezel-a-yo
eyadabukisayo,e-dabukis-a-yo,e-dabukis-a-yo,e-dabukis-a-yo
eyadayiswayo,e-dayisw-a-yo,e-dayisw-a-yo,e-dayisw-a-yo
eyadidayo,e-did-a-yo,e-did-a-yo,e-did-a-yo
eyadingekayo,e-dingek-a-yo,e-dingek-a-yo,e-dingek-a-yo
eyadlubulundayo,e-dlubulund-a-yo,e-dlubulund-a-yo,e-dlubulund-a-yo
eyadluliswayo,e-dlulisw-a-yo,e-dlulisw-a-yo,e-dlulisw-a-yo
eyaduduzayo,e-duduz-a-yo,e-duduz-a-yo,e-duduz-a-yo
eyadukisayo,e-dukis-a-yo,e-dukis-a-yo,e-dukis-a-yo
eyadumazayo,e-dumaz-a-yo,e-dumaz-a-yo,e-dumaz-a-yo
eyafanayo,e-fan-a-yo,e-fan-a-yo,e-fan-a-yo
eyafanelanayo,e-fanelan-a-yo,e-fanelan-a-yo,e-fanelan-a-yo
eyafanelekayo,e-fanelek-a-yo,e-fanelek-a-yo,e-fanelek-a-yo
eyafinyelelekayo,e-finyelelek-a-yo,e-finyelelek-a-yo,e-finyelelek-a-yo
eyafunekayo,e-funek-a-yo,e-funek-a-yo,e-funek-a-yo
eyagculisayo,e-gculis-a-yo,e-gculis-a-yo,e-gculis-a-yo
eyagogayo,e-gog-a-yo,e-gog-a-yo,e-gog-a-yo
eyagqekezayo,e-gqekez-a-yo,e-gqekez-a-yo,e-gqekez-a-yo
eyagubhayo,e-gubh-a-yo,e-gubh-a-yo,e-gubh-a-yo
eyagulayo,e-gul-a-yo,e-gul-a-yo,e-gul-a-yo
eyagxekayo,e-gxek-a-yo,e-gxek-a-yo,e-gxek-a-yo
eyahambayo,e-hamb-a-yo,e-hamb-a-yo,e-hamb-a-yo
eyahlabayo,e-hlab-a-yo,e-hlab-a-yo,e-hlab-a-yo
eyahloniphekayo,e-hloniphek-a-yo,e-hloniphek-a-yo,e-hloniphek-a-yo
eyahlubukayo,e-hlubuk-a-yo,e-hlubuk-a-yo,e-hlubuk-a-yo
eyaholelayo,e-holel-a-yo,e-holel-a-yo,e-holel-a-yo
eyajabulayo,e-jabul-a-yo,e-jabul-a-yo,e-jabul-a-yo
eyajabulisayo,e-jabulis-a-yo,e-jabulis-a-yo,e-jabulis-a-yo
eyakhangayo,e-khang-a-yo,e-khang-a-yo,e-khang-a-yo
eyakhanyayo,e-khany-a-yo,e-khany-a-yo,e-khany-a-yo
eyakhathazayo,e-khathaz-a-yo,e-khathaz-a-yo,e-khathaz-a-yo
eyakhazimulayo,e-khazimul-a-yo,e-khazimul-a-yo,e-khazimul-a-yo
eyakhiqizayo,e-khiqiz-a-yo,e-khiqiz-a-yo,e-khiqiz-a-yo
eyakhohlisayo,e-khohlis-a-yo,e-khohlis-a-yo,e-khohlis-a-yo
eyakholisayo,e-kholis-a-yo,e-kholis-a-yo,e-kholis-a-yo
eyakholwayo,e-kholw-a-yo,e-kholw-a-yo,e-kholw-a-yo
eyakhonzayo,e-khonz-a-yo,e-khonz-a-yo,e-khonz-a-yo
eyakhonzwayo,e-khonzw-a-yo,e-khonzw-a-yo,e-khonzw-a-yo
eyakhulayo,e-khul-a-yo,e-khul-a-yo,e-khul-a-yo
eyakhulisayo,e-khulis-a-yo,e-khulis-a-yo,e-khulis-a-yo
eyakhulunywayo,e-khulunyw-a-yo,e-khulunyw-a-yo,e-khulunyw-a-yo
eyakhuthazayo,e-khuthaz-a-yo,e-khuthaz-a-yo,e-khuthaz-a-yo
eyakhwantabalisayo,e-khwantabalis-a-yo,e-khwantabalis-a-yo,e-khwantabalis-a-yo
eyaklabalasayo,e-klabalas-a-yo,e-klabalas-a-yo,e-klabalas-a-yo
eyalalelayo,e-lalel-a-yo,e-lalel-a-yo,e-lalel-a-yo
eyalalisayo,e-lalis-a-yo,e-lalis-a-yo,e-lalis-a-yo
eyalambayo,e-lamb-a-yo,e-lamb-a-yo,e-lamb-a-yo
eyalandelanayo,e-landelan-a-yo,e-landelan-a-yo,e-landelan-a-yo
eyalandelayo,e-landel-a-yo,e-landel-a-yo,e-landel-a-yo
eyalengayo,e-leng-a-yo,e-leng-a-yo,e-leng-a-yo
eyalimayo,e-lim-a-yo,e-lim-a-yo,e-lim-a-yo
eyalimazayo,e-limaz-a-yo,e-limaz-a-yo,e-limaz-a-yo
eyalinganiselayo,e-linganisel-a-yo,e-linganisel-a-yo,e-linganisel-a-yo
eyamangalisayo,e-mangalis-a-yo,e-mangalis-a-yo,e-mangalis-a-yo
eyamangalisayoeye,e-mangalis-a-yo-ey-e,e-mangalis-a-yo-ey-e,e-mangalis-a-yo-ey-e
eyamuncayo,e-munc-a-yo,e-munc-a-yo,e-munc-a-yo
eyanayo,e-n-a-yo,e-n-a-yo,e-n-a-yo
eyanengekayo,e-nengek-a-yo,e-nengek-a-yo,e-nengek-a-yo
eyangabazekayo,e-ngabazek-a-yo,e-ngabazek-a-yo,e-ngabazek-a-yo
eyangcolisayo,e-ngcolis-a-yo,e-ngcolis-a-yo,e-ngcolis-a-yo
eyangqubuzanayo,e-ngqubuzan-a-yo,e-ngqubuzan-a-yo,e-ngqubuzan-a-yo
eyaninayo,e-nin-a-yo,e-nin-a-yo,e-nin-a-yo
eyanqwabelanayo,e-nqwabelan-a-yo,e-nqwabelan-a-yo,e-nqwabelan-a-yo
eyanwabuzelayo,e-nwabuzel-a-yo,e-nwabuzel-a-yo,e-nwabuzel-a-yo
eyanyantisayo,e-nyantis-a-yo,e-nyantis-a-yo,e-nyantis-a-yo
eyanyathelisayo,e-nyathelis-a-yo,e-nyathelis-a-yo,e-nyathelis-a-yo
eyaphathekayo,e-phathek-a-yo,e-phathek-a-yo,e-phathek-a-yo
eyaphathwayo,e-phathw-a-yo,e-phathw-a-yo,e-phathw-a-yo
eyaphawulekayo,e-phawulek-a-yo,e-phawulek-a-yo,e-phawulek-a-yo
eyaphelayo,e-phel-a-yo,e-phel-a-yo,e-phel-a-yo
eyaphikelelayo,e-phikelel-a-yo,e-phikelel-a-yo,e-phikelel-a-yo
eyaphikisanayo,e-phikisan-a-yo,e-phikisan-a-yo,e-phikisan-a-yo
eyaphikisayo,e-phikis-a-yo,e-phikis-a-yo,e-phikis-a-yo
eyaphilayo,e-phil-a-yo,e-phil-a-yo,e-phil-a-yo
eyaphithizelayo,e-phithizel-a-yo,e-phithizel-a-yo,e-phithizel-a-yo
eyapholayo,e-phol-a-yo,e-phol-a-yo,e-phol-a-yo
eyaphumayo,e-phum-a-yo,e-phum-a-yo,e-phum-a-yo
eyaphumelelayo,e-phumelel-a-yo,e-phumelel-a-yo,e-phumelel-a-yo
eyaphuzwayo,e-phuzw-a-yo,e-phuzw-a-yo,e-phuzw-a-yo
eyaqabukelayo,e-qabukel-a-yo,e-qabukel-a-yo,e-qabukel-a-yo
eyaqaphelekayo,e-qaphelek-a-yo,e-qaphelek-a-yo,e-qaphelek-a-yo
eyaqashisayo,e-qashis-a-yo,e-qashis-a-yo,e-qashis-a-yo
eyaqhubekayo,e-qhubek-a-yo,e-qhubek-a-yo,e-qhubek-a-yo
eyaqhumayo,e-qhum-a-yo,e-qhum-a-yo,e-qhum-a-yo
eyaqinisekisayo,e-qinisekis-a-yo,e-qinisekis-a-yo,e-qinisekis-a-yo
eyaqondakalayo,e-qondakal-a-yo,e-qondakal-a-yo,e-qondakal-a-yo
eyaqondayo,e-qond-a-yo,e-qond-a-yo,e-qond-a-yo
eyasabekayo,e-sabek-a-yo,e-sabek-a-yo,e-sabek-a-yo
eyasahayo,e-sah-a-yo,e-sah-a-yo,e-sah-a-yo
eyasebenzayo,e-sebenz-a-yo,e-sebenz-a-yo,e-sebenz-a-yo
eyasebenzisekayo,e-sebenzisek-a-yo,e-sebenzisek-a-yo,e-sebenzisek-a-yo
eyasetshenziswayo,e-setshenzisw-a-yo,e-setshenzisw-a-yo,e-setshenzisw-a-yo
eyashaqisayo,e-shaqis-a-yo,e-shaqis-a-yo,e-shaqis-a-yo
eyashayelwayo,e-shayelw-a-yo,e-shayelw-a-yo,e-shayelw-a-yo
eyasheshayo,e-shesh-a-yo,e-shesh-a-yo,e-shesh-a-yo
eyashintshayo,e-shintsh-a-yo,e-shintsh-a-yo,e-shintsh-a-yo
eyashisayo,e-shis-a-yo,e-shis-a-yo,e-shis-a-yo
eyashukumisayo,e-shukumis-a-yo,e-shukumis-a-yo,e-shukumis-a-yo
eyasinayo,e-sin-a-yo,e-sin-a-yo,e-sin-a-yo
eyasindayo,e-sind-a-yo,e-sind-a-yo,e-sind-a-yo
eyasindisayo,e-sindis-a-yo,e-sindis-a-yo,e-sindis-a-yo
eyasizanayo,e-sizan-a-yo,e-sizan-a-yo,e-sizan-a-yo
eyasizayo,e-siz-a-yo,e-siz-a-yo,e-siz-a-yo
eyasondelayo,e-sondel-a-yo,e-sondel-a-yo,e-sondel-a-yo
eyasontayo,e-sont-a-yo,e-sont-a-yo,e-sont-a-yo
eyathakazelisayo,e-thakazelis-a-yo,e-thakazelis-a-yo,e-thakazelis-a-yo
eyathandayo,e-thand-a-yo,e-thand-a-yo,e-thand-a-yo
eyathandekayo,e-thandek-a-yo,e-thandek-a-yo,e-thandek-a-yo
eyathandelayo,e-thandel-a-yo,e-thandel-a-yo,e-thandel-a-yo
eyathandwayo,e-thandw-a-yo,e-thandw-a-yo,e-thandw-a-yo
eyathengwayo,e-thengw-a-yo,e-thengw-a-yo,e-thengw-a-yo
eyathobisayo,e-thobis-a-yo,e-thobis-a-yo,e-thobis-a-yo
eyathokozayo,e-thokoz-a-yo,e-thokoz-a-yo,e-thokoz-a-yo
eyathokozisayo,e-thokozis-a-yo,e-thokozis-a-yo,e-thokozis-a-yo
eyatholakalayo,e-tholakal-a-yo,e-tholakal-a-yo,e-tholakal-a-yo
eyathungathayo,e-thungath-a-yo,e-thungath-a-yo,e-thungath-a-yo
eyathunqayo,e-thunq-a-yo,e-thunq-a-yo,e-thunq-a-yo
eyatuswayo,e-tusw-a-yo,e-tusw-a-yo,e-tusw-a-yo
eyavimbelayo,e-vimbel-a-yo,e-vimbel-a-yo,e-vimbel-a-yo
eyavumayo,e-vum-a-yo,e-vum-a-yo,e-vum-a-yo
eyavunguzayo,e-vunguz-a-yo,e-vunguz-a-yo,e-vunguz-a-yo
eyavuthayo,e-vuth-a-yo,e-vuth-a-yo,e-vuth-a-yo
eyavuzayo,e-vuz-a-yo,e-vuz-a-yo,e-vuz-a-yo
eyawohlokayo,e-wohlok-a-yo,e-wohlok-a-yo,e-wohlok-a-yo
eyaxakayo,e-xak-a-yo,e-xak-a-yo,e-xak-a-yo
eyaxokozelayo,e-xokozel-a-yo,e-xokozel-a-yo,e-xokozel-a-yo
eyayaluzayo,e-yaluz-a-yo,e-yaluz-a-yo,e-yaluz-a-yo
eyayekelelwayo,e-yekelelw-a-yo,e-yekelelw-a-yo,e-yekelelw-a-yo
eyayonayo,e-yon-a-yo,e-yon-a-yo,e-yon-a-yo
eyazayo,e-z-a-yo,e-z-a-yo,e-z-a-yo
eyazuzisayo,e-zuzis-a-yo,e-zuzis-a-yo,e-zuzis-a-yo
eyazwakalayo,e-zwakal-a-yo,e-zwakal-a-yo,e-zwakal-a-yo
eyeke,eyek-e,eyek-e,uku-vot-a
eyenziwe,e-y-enziw-e,e-y-enziw-e,eyenziw-es-akhiw-e
eyiqiniso,e-y-i-qiniso,e-y-i-qiniso,nga-yo
eyyakhayo,ey-akh-a-yo,ey-akh-a-yo,ey-akh-a-yo
eyyalusayo,ey-alus-a-yo,ey-alus-a-yo,ey-alus-a-yo
eyyamukelayo,ey-amukel-a-yo,ey-amukel-a-yo,ey-amukel-a-yo
eyyamukelekayo,ey-amukelek-a-yo,ey-amukelek-a-yo,ey-amukelek-a-yo
